분류,세부 항목,평가 기준,A등급,B등급,C등급,D등급,E등급
학력,최종 학위 수준,학위 수준 및 전공의 적합성,"박사 이상, 전공 완전 일치","석사, 전공 유사","학사, 전공 유사","전문대 졸, 전공 무관",고졸 이하
,출신 학교 수준,대외적 인지도 및 명문 여부,국내외 최상위권 대학,상위권 대학,중상위권 대학,하위권 대학,무인증 교육기관
,학점,GPA 또는 성적 등급,4.0 이상 / A 이상,3.5~3.99 / B+,3.0~3.49 / B,2.5~2.99 / C,2.49 이하
경력,총 경력 연수,실무 경력의 누적 기간,10년 이상,6~9년,3~5년,1~2년,1년 미만
,직무 연관성,경력과 지원 직무의 관련도,완전 일치,유사 직무 다수 경험,일부 유사,직무 전환 경험 있음,무관한 분야
,성과 및 기여도,경력 중 성과/기여 여부,수치화된 성과 및 수상 다수,"팀 프로젝트 리드, 우수 성과 1건 이상","성실 근무, 무평가",성과 기재 부족,관련 정보 없음
교육이력,전문교육 수료 여부,외부 기관/전문 과정 이수,최신 트렌드 반영된 전문 교육 다수,최근 3년 내 2개 이상 수료,최근 3년 내 1개 수료,오래된 교육만 있음,없음
,기업 내 교육 참여,사내 교육 또는 세미나 참여 기록,핵심 교육 참여 및 발표 경험,정기 교육 다수 이수,기본 교육 이수,단기 교육만 있음,없음
,자기개발 노력,자율적 학습 및 성장 노력,"지속적 학습, 자격 취득 노력 있음",관련 분야 학습 기록 있음,학습 시도 1회 이상,계획은 있으나 이행 부족,관련 없음
자격증,직무 관련 자격증,직무에 직접 적용 가능한 자격 여부,국가공인 또는 국제 공인 자격 다수,국가공인 자격 1개 이상,민간자격증 1개 이상,유사 무자격증,없음
,자격증 수준,난이도 및 공신력,"난이도 상, 실무 강력 지원","난이도 중, 실무 일부 지원",기초 수준 자격,실무 관련성 낮음,무의미/불명확 자격
,자격증 최신성,취득 시점 및 최근 유지 여부,최근 3년 이내 취득 및 갱신 완료,3~5년 이내 취득,"5년 이상 경과, 갱신 예정",오래되었고 활용 미미,무효/만료
